episode_id,model_key,model_id,offload_gb,state_label,concurrency,trigger_after_decode_tokens,condition,repeat,random_seed,episode_seed,victim_workload_seed,burst_workload_seed,victim_request_count,victim_input_len,victim_output_len,victim_temperature,burst_parallel_requests,burst_input_len,burst_output_len,burst_temperature,max_num_batched_tokens,condition_first_in_block,restart_server_before_block,block_id,order_in_block
llama_off12_conc8_trigger16_no_burst_rep01,llama,meta-llama/Llama-3.1-8B-Instruct,12,high,8,16,no_burst,1,20260718,813271228,412975847,2109724819,20,256,64,0.0,4,2048,16,0.0,2048,no_burst,1,llama_off12_conc8_rep01,1
llama_off12_conc8_trigger16_prefill_burst_rep01,llama,meta-llama/Llama-3.1-8B-Instruct,12,high,8,16,prefill_burst,1,20260718,1330334749,412975847,2109724819,20,256,64,0.0,4,2048,16,0.0,2048,no_burst,0,llama_off12_conc8_rep01,2
llama_off8_conc8_trigger16_no_burst_rep01,llama,meta-llama/Llama-3.1-8B-Instruct,8,intermediate,8,16,no_burst,1,20260718,161297170,412975847,2109724819,20,256,64,0.0,4,2048,16,0.0,2048,no_burst,1,llama_off8_conc8_rep01,1
llama_off8_conc8_trigger16_prefill_burst_rep01,llama,meta-llama/Llama-3.1-8B-Instruct,8,intermediate,8,16,prefill_burst,1,20260718,39283175,412975847,2109724819,20,256,64,0.0,4,2048,16,0.0,2048,no_burst,0,llama_off8_conc8_rep01,2
llama_off12_conc4_trigger16_no_burst_rep01,llama,meta-llama/Llama-3.1-8B-Instruct,12,high,4,16,no_burst,1,20260718,124999766,412975847,2109724819,20,256,64,0.0,4,2048,16,0.0,2048,no_burst,1,llama_off12_conc4_rep01,1
llama_off12_conc4_trigger16_prefill_burst_rep01,llama,meta-llama/Llama-3.1-8B-Instruct,12,high,4,16,prefill_burst,1,20260718,874369762,412975847,2109724819,20,256,64,0.0,4,2048,16,0.0,2048,no_burst,0,llama_off12_conc4_rep01,2
llama_off0_conc8_trigger16_prefill_burst_rep01,llama,meta-llama/Llama-3.1-8B-Instruct,0,low,8,16,prefill_burst,1,20260718,60650503,412975847,2109724819,20,256,64,0.0,4,2048,16,0.0,2048,prefill_burst,1,llama_off0_conc8_rep01,1
llama_off0_conc8_trigger16_no_burst_rep01,llama,meta-llama/Llama-3.1-8B-Instruct,0,low,8,16,no_burst,1,20260718,1517243158,412975847,2109724819,20,256,64,0.0,4,2048,16,0.0,2048,prefill_burst,0,llama_off0_conc8_rep01,2
llama_off0_conc4_trigger16_prefill_burst_rep01,llama,meta-llama/Llama-3.1-8B-Instruct,0,low,4,16,prefill_burst,1,20260718,640769661,412975847,2109724819,20,256,64,0.0,4,2048,16,0.0,2048,prefill_burst,1,llama_off0_conc4_rep01,1
llama_off0_conc4_trigger16_no_burst_rep01,llama,meta-llama/Llama-3.1-8B-Instruct,0,low,4,16,no_burst,1,20260718,1234937300,412975847,2109724819,20,256,64,0.0,4,2048,16,0.0,2048,prefill_burst,0,llama_off0_conc4_rep01,2
llama_off8_conc4_trigger16_prefill_burst_rep01,llama,meta-llama/Llama-3.1-8B-Instruct,8,intermediate,4,16,prefill_burst,1,20260718,1346636902,412975847,2109724819,20,256,64,0.0,4,2048,16,0.0,2048,prefill_burst,1,llama_off8_conc4_rep01,1
llama_off8_conc4_trigger16_no_burst_rep01,llama,meta-llama/Llama-3.1-8B-Instruct,8,intermediate,4,16,no_burst,1,20260718,1944143891,412975847,2109724819,20,256,64,0.0,4,2048,16,0.0,2048,prefill_burst,0,llama_off8_conc4_rep01,2
llama_off12_conc4_trigger16_no_burst_rep02,llama,meta-llama/Llama-3.1-8B-Instruct,12,high,4,16,no_burst,2,20260718,1248840366,1609676017,2116533302,20,256,64,0.0,4,2048,16,0.0,2048,no_burst,1,llama_off12_conc4_rep02,1
llama_off12_conc4_trigger16_prefill_burst_rep02,llama,meta-llama/Llama-3.1-8B-Instruct,12,high,4,16,prefill_burst,2,20260718,930287574,1609676017,2116533302,20,256,64,0.0,4,2048,16,0.0,2048,no_burst,0,llama_off12_conc4_rep02,2
